Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
Monolithic Power Systems,MPWR,-4.31%,215.63%,-13.92%,270.91%,1.03%,35.29%
HP,HPQ,-9.91%,-9.53%,-29.63%,40.74%,1.23%,7.27%
GE HealthCare Technologies,GEHC,7.43%,,-14.95%,,0.00%,11.48%
Diamondback Energy,FANG,-30.67%,264.14%,-61.54%,37.39%,4.90%,10.00%
Electronic Arts,EA,2.68%,18.46%,-103.75%,-101.54%,-15.60%,13.33%
Martin Marietta Materials,MLM,10.91%,51.43%,-4.27%,92.12%,2.66%,10.37%
Ambev S.A,ABEV,11.99%,10.13%,0.00%,-20.00%,0.00%,5.56%
Howmet Aerospace,HWM,18.31%,-53.88%,31.43%,91.67%,9.62%,22.18%
Deutsche Bank Aktiengesellschaft,DB,59.39%,,-68.00%,,13.64%,14.60%
Vistra,VST,100.82%,23.89%,,485.00%,-62.90%,19.74%
DuPont De Nemours,DD,-6.86%,-47.17%,-118.06%,-112.33%,21.54%,16.80%
Xylem,XYL,26.25%,30.75%,-27.42%,-29.69%,7.14%,11.79%
Baidu,BIDU,1.18%,37.90%,,-21.09%,27.89%,9.74%
Agnico Eagle Mines,AEM,8.67%,208.87%,4.76%,3200.00%,26.67%,7.86%
Nasdaq,NDAQ,-7.67%,39.53%,-12.90%,68.75%,-3.08%,12.69%
Vulcan Materials,VMC,8.12%,76.05%,65.00%,94.12%,5.26%,14.17%
Coca-Cola Europacific Partners,CCEP,,,-58.67%,,0.00%,8.67%
Las Vegas Sands,LVS,143.25%,-23.04%,,-41.43%,20.97%,14.83%
Baker Hughes,BKR,25.12%,13.82%,,,7.50%,25.48%
Trip Group,TCOM,106.32%,24.79%,,151.72%,39.62%,22.18%
Delta Air Lines,DAL,12.69%,32.30%,146.96%,90.60%,25.00%,13.66%
Cognizant Technology Solutions,CTSH,-0.41%,21.97%,-18.02%,16.67%,0.90%,7.17%
Biogen,BIIB,-5.14%,-26.83%,-43.78%,-2.63%,6.38%,12.30%
Consolidated Edison Inc,ED,-13.79%,9.20%,-9.72%,8.33%,13.76%,5.06%
Gartner,IT,9.20%,50.12%,-1.98%,396.00%,16.27%,11.00%
Halliburton,HAL,14.27%,-5.68%,466.67%,17.24%,2.70%,17.99%
LyondellBasell Industries,LYB,-30.54%,0.98%,-56.22%,-48.34%,7.75%,15.29%
CoStar,CSGP,12.98%,104.00%,19.05%,108.33%,250.00%,148.89%
Corning,GLW,-10.29%,18.06%,-50.00%,-57.69%,5.56%,15.18%
Fair Isaac,FICO,14.25%,56.36%,40.72%,434.74%,4.09%,29.06%
Garmin,GRMN,6.44%,47.67%,12.78%,50.00%,42.00%,13.34%
ON Semiconductor,ON,0.45%,43.86%,26.47%,268.57%,3.85%,27.15%
BCE,BCE,-1.70%,0.62%,-46.15%,-54.10%,0.00%,2.26%
HubSpot,HUBS,25.46%,331.67%,,,103.85%,-137.50%
Devon Energy,DVN,-38.61%,79.71%,-63.48%,,5.45%,11.39%
Archer Daniels Midland,ADM,-7.67%,47.59%,-22.02%,70.00%,8.15%,-1.43%
PPG Industries,PPG,3.86%,17.94%,11.35%,36.42%,0.00%,11.37%
Xcel Energy,XEL,-11.74%,13.69%,-13.33%,0.00%,10.00%,7.58%
Tractor Supply,TSCO,7.21%,89.07%,8.50%,126.63%,7.65%,9.96%
Discover Financial Services,DFS,41.87%,60.48%,-9.92%,85.34%,-63.09%,13.68%
Chunghwa Telecom,CHT,-2.24%,-3.33%,0.00%,-2.33%,0.00%,
Heico,HEI,26.93%,55.19%,23.33%,51.02%,10.00%,18.47%
Extra Space Storage Inc,EXR,7.66%,72.30%,-13.29%,100.00%,0.51%,3.73%
Hartford Financial Services,HIG,12.58%,26.31%,31.06%,8.12%,-3.70%,14.19%
DraftKings,DKNG,87.68%,,,,-7.14%,-535.00%
ResMed,RMD,22.66%,79.92%,17.42%,103.95%,10.94%,13.25%
Dollar General,DG,3.93%,52.04%,-28.52%,40.13%,5.10%,12.93%
"Corporacion Inmobiliaria Vesta, S.A.B De C.V",VTMX,20.46%,,79.22%,,182.00%,-20.00%
CDW,CDW,-8.46%,34.40%,-5.88%,71.43%,-7.35%,9.31%
Barrick Gold,GOLD,-0.91%,65.48%,-37.04%,,18.75%,31.13%
Ferrovial SE,FER,,,,,0.00%,
Mettler-Toledo,MTD,0.38%,36.03%,4.31%,124.83%,16.82%,11.37%
VICI Properties,VICI,35.55%,306.44%,,81.58%,0.00%,4.44%
Westinghouse Air Brake Technologies,WAB,17.53%,116.52%,16.48%,21.84%,26.85%,9.23%
Edison,EIX,-1.10%,40.82%,46.03%,9.52%,0.89%,13.41%
Rockwell Automation,ROK,13.71%,31.79%,35.29%,118.35%,16.28%,19.29%
Sun Life Financial,SLF,252.96%,5.07%,-20.95%,-7.78%,-7.50%,9.02%
First Solar,FSLR,30.55%,162.08%,205.77%,,15.79%,55.87%
Nutrien,NTR,-19.66%,43.79%,-86.33%,-60.27%,32.35%,3.33%
Equifax,EFX,0.07%,50.26%,-31.29%,-5.88%,4.17%,28.90%
Pinterest,PINS,6.32%,339.25%,,,55.56%,65.12%
Veeva Systems,VEEV,4.20%,169.15%,30.65%,179.31%,10.75%,14.36%
Deckers Outdoor,DECK,7.55%,97.56%,38.87%,411.94%,75.53%,11.48%
Ryanair Holdings,RYAAY,12.18%,-20.14%,-21.55%,-79.13%,0.76%,10.00%
ANSYS,ANSS,4.80%,62.34%,-29.20%,-25.93%,-45.16%,12.57%
Rocket,RKT,-11.22%,,150.00%,,800.00%,112.50%
Take-Two Interactive Software,TTWO,55.51%,221.19%,-502.11%,-577.50%,79.41%,443.48%
AvalonBay Communities,AVB,7.18%,21.37%,161.62%,40.76%,2.27%,4.68%
GlobalFoundries,GFS,-7.43%,,-10.42%,,60.00%,88.68%
EBay,EBAY,4.87%,-3.79%,,-50.00%,5.15%,6.72%
MicroStrategy,MSTR,-1.37%,-0.17%,,261.90%,0.00%,
CBRE,CBRE,-0.66%,51.03%,-56.76%,-4.48%,13.04%,27.78%
Wipro,WIT,2.82%,31.15%,0.00%,40.00%,0.00%,7.41%
AppLovin,APP,-3.36%,,,,17.54%,20.61%
ICON,ICLR,4.40%,214.87%,-0.71%,6.87%,2.42%,15.80%
On Holding AG,ONON,61.59%,,-300.00%,,166.67%,15.58%
Teck Resources,TECK,-42.24%,11.98%,-70.00%,-14.29%,-35.63%,-0.46%
Telefonica SA,TEF,3.41%,-27.51%,33.33%,-55.56%,22.22%,3.03%
Prudential Public,PUK,,,,,0.00%,12.77%
T Rowe Price,TROW,6.42%,19.72%,41.10%,16.38%,18.41%,0.68%
Targa Resources,TRGP,-43.79%,39.24%,-10.56%,311.43%,-9.63%,30.77%
Fortive,FTV,4.31%,-4.71%,22.92%,-28.92%,5.06%,9.21%
Church & Dwight,CHD,9.74%,41.47%,17.11%,81.63%,11.63%,8.67%
Willis Towers Watson Public,WTW,6.30%,8.49%,-9.28%,100.00%,2.49%,12.35%
Vodafone Group,VOD,,,,,0.00%,-7.04%
Global Payments,GPN,7.52%,194.36%,,54.41%,2.90%,13.81%
Tradeweb Markets,TW,4.53%,104.73%,27.27%,133.33%,0.00%,13.87%
Dollar Tree,DLTR,6.10%,31.87%,-43.04%,101.49%,-4.49%,17.73%
Blue Owl Capital,OWL,27.41%,,,,6.25%,24.39%
Fifth Third Bancorp,FITB,44.67%,53.88%,7.89%,0.00%,7.04%,8.87%
WEC Energy,WEC,-14.00%,9.42%,1.10%,26.03%,4.23%,7.19%
Brown & Brown,BRO,24.72%,121.33%,31.37%,157.69%,6.54%,8.03%
Zscaler,ZS,46.02%,751.91%,,,162.50%,-16.25%
American Water Works,AWK,17.08%,28.60%,20.00%,60.00%,-4.04%,8.40%
Raymond James Financial,RJF,6.95%,53.73%,23.91%,66.02%,-0.43%,6.70%
Orix Corp Ads,IX,-9.20%,-15.33%,-44.38%,-35.35%,0.00%,11.91%
M&T Bank,MTB,62.99%,109.21%,367.59%,54.91%,-1.28%,17.05%
Dover,DOV,-2.72%,16.80%,-14.00%,89.01%,3.72%,8.68%
Wheaton Precious Metals,WPM,-12.53%,24.75%,-6.06%,-56.94%,24.14%,15.63%
NetApp,NTAP,-5.89%,-3.83%,-0.88%,0.90%,-3.38%,8.24%
Tencent Music Entertainment Group,TME,-2.52%,,37.50%,,7.69%,29.03%
Equity Residential,EQR,4.41%,12.11%,-37.29%,19.35%,2.20%,2.56%
First Citizens BancShares,FCNCA,205.76%,792.05%,208.68%,490.35%,19.54%,4.07%
PulteGroup,PHM,7.96%,63.00%,17.58%,186.61%,21.61%,5.85%
Snap,SNAP,-3.89%,307.10%,,,41.67%,-36.36%
Koninklijke Philips,PHG,7.88%,,-36.67%,,0.00%,18.18%
Western Digital,WDC,-40.99%,-47.78%,-340.00%,-189.41%,950.00%,-565.48%
International Flavors & Fragrances,IFF,-11.43%,218.36%,-74.42%,-91.20%,34.52%,12.73%
Veralto,VLTO,,,,,10.53%,6.29%
Heico,HEI.A,26.93%,55.19%,23.33%,51.02%,0.00%,
TELUS,TU,7.17%,37.66%,-62.96%,-61.54%,5.56%,9.21%
Cardinal Health,CAH,13.48%,51.22%,-140.68%,,6.67%,2.72%
Keysight Technologies,KEYS,2.89%,40.40%,12.06%,364.71%,0.81%,18.71%
West Pharmaceutical Services,WST,-2.27%,68.45%,-16.94%,174.67%,20.93%,18.04%
Cameco,CCJ,-17.90%,38.79%,-87.50%,,-69.70%,15.22%
DTE Energy,DTE,-45.49%,-15.04%,410.53%,-24.81%,-2.34%,6.87%
NVR,NVR,-12.06%,30.83%,-5.75%,137.59%,9.79%,4.17%
Entergy,ETR,-16.17%,6.64%,135.90%,37.31%,-25.00%,6.78%
Joint Stock Kaspi.kz,KSPI,,,,,-1.56%,26.38%
BioNTech SE,BNTX,-94.62%,,-112.54%,,-73.17%,7.11%
Franco-Nevada,FNV,-6.36%,104.53%,-5.88%,231.03%,11.76%,7.86%
Broadridge Financial Solutions,BR,6.74%,39.28%,30.62%,58.72%,0.00%,8.68%
Zimmer Biomet Holdings,ZBH,4.93%,-6.87%,36.99%,11.11%,3.74%,7.65%
Iron Mountain,IRM,5.31%,28.01%,-100.00%,-100.00%,11.11%,6.46%
ASE Technology Holding,ASX,-18.56%,56.47%,-52.00%,-33.33%,-20.00%,35.48%
Cheniere Energy Partners,CQP,-53.77%,37.38%,236.00%,44.83%,26.88%,-9.41%
KB Financial Group Inc,KB,74.46%,93.98%,2.44%,30.09%,3.50%,23.27%
FirstEnergy,FE,6.67%,14.51%,24.24%,46.43%,3.77%,7.84%
Symbotic,SYM,77.64%,,,,833.33%,-540.00%
Cloudflare,NET,31.54%,,,,40.00%,-31.58%
Hewlett Packard Enterprise,HPE,3.87%,-6.63%,68.42%,-34.69%,-6.45%,21.43%
CGI,GIB,5.61%,18.26%,10.17%,66.67%,1.39%,8.62%
State Street,STT,51.35%,40.47%,13.61%,15.43%,14.19%,9.31%
Aptiv,APTV,28.17%,41.15%,,-23.64%,10.48%,30.12%
Rollins,ROL,14.94%,70.83%,4.76%,69.23%,0.00%,11.00%
Argenex SE,ARGX,629.86%,,,,-46.48%,-175.46%
STERIS,STE,11.07%,101.10%,13.64%,52.44%,0.00%,8.31%
Teradyne,TER,-18.59%,29.89%,-37.07%,40.38%,54.55%,46.05%
Weyerhaeuser,WY,-32.83%,-3.29%,-70.75%,-26.19%,6.67%,16.00%
Restaurant Brands,QSR,8.30%,32.17%,1.32%,16.67%,1.39%,13.17%
Brown-Forman,BF.B,5.02%,42.70%,38.71%,86.96%,7.14%,0.00%
Brown Forman,BF.A,5.02%,42.70%,38.71%,86.96%,0.00%,
PPL,PPL,7.49%,-1.35%,-6.25%,-79.45%,3.85%,7.60%
Ball,BALL,-13.74%,15.00%,,61.76%,21.43%,11.65%
Nokia,NOK,-0.38%,-1.74%,-44.44%,,66.67%,2.70%
Live Nation Entertainment,LYV,26.98%,96.31%,54.55%,325.00%,-165.00%,65.22%
Pembina Pipeline,PBA,-36.47%,5.11%,-16.67%,7.14%,0.00%,3.93%
Li Auto,LI,,,,,0.00%,47.55%
Rogers Communication,RCI,23.91%,28.94%,-75.00%,-81.48%,1.39%,12.09%
LPL Financial Holdings,LPLA,21.09%,90.08%,85.28%,180.77%,11.67%,23.66%
Markel Group,MKL,131.14%,108.48%,,150.83%,-1.78%,21.06%
ArcelorMittal,MT,-15.97%,-6.96%,-48.11%,20.22%,24.73%,19.13%
Invitation Home,INVH,7.73%,38.84%,22.22%,,4.44%,4.40%
United Microelectronics,UMC,-25.09%,40.59%,-31.03%,300.00%,-7.14%,35.59%
Axon Enterprise,AXON,31.16%,277.52%,-77.46%,6.67%,-58.14%,48.09%
Coterra Energy,CTRA,-53.93%,161.33%,-82.24%,200.00%,21.95%,51.93%
SBA Communications,SBAC,4.06%,48.69%,192.19%,,5.45%,-0.16%
PTC,PTC,17.27%,72.29%,-15.00%,264.29%,26.44%,34.20%
Steel Dynamics,STLD,-18.21%,64.43%,-25.58%,215.69%,3.67%,-8.12%
KE Holdings,BEKE,49.17%,,,,16.67%,14.63%
Hubbell Inc,HUBB,8.75%,17.07%,69.03%,109.89%,1.69%,7.16%
Eversource Energy,ES,2.20%,41.83%,-95.24%,-94.74%,2.76%,5.30%
Alexandria Real Estate Equities,ARE,10.90%,119.64%,-69.46%,0.00%,1.73%,3.16%
W.R Berkley,WRB,19.22%,56.78%,103.13%,109.68%,6.85%,7.73%
Mobileye Global,MBLY,-1.30%,,,,-27.27%,430.00%
Westlake,WLK,-27.48%,45.46%,-65.00%,8.96%,22.94%,32.02%
Kellanova,K,4.58%,20.27%,8.42%,-39.77%,18.82%,5.80%
Ericsson,ERIC,-3.72%,6.42%,-114.29%,,40.00%,28.95%
Tyson Foods,TSN,-2.63%,30.73%,-157.00%,-180.27%,77.14%,48.44%
Tyler Technologies,TYL,7.59%,113.62%,22.34%,18.56%,17.57%,17.75%
Ventas,VTR,8.15%,17.41%,,-43.48%,5.41%,6.01%
Carvana,CVNA,-23.58%,524.46%,,,46.05%,-94.79%
Warner Bros Discovery,WBD,5.40%,264.08%,,-270.00%,-66.67%,-152.63%
Huntington Bancshares,HBAN,49.78%,107.95%,0.00%,16.67%,12.00%,17.36%
Genuine Parts,GPC,5.58%,22.67%,-6.87%,58.44%,3.26%,9.27%
GoDaddy,GDDY,3.21%,60.85%,-3.57%,390.91%,8.00%,27.80%
Carlisle,CSL,-14.03%,23.44%,-33.86%,104.86%,35.77%,8.68%
Leidos Holdings,LDOS,6.70%,51.76%,20.97%,59.57%,38.79%,2.56%
Roblox,RBLX,15.15%,,,,18.87%,2.94%
Banco Santander Brasil SA,BSBR,127.02%,2.06%,-100.00%,-100.00%,0.00%,21.13%
Fortis,FTS,-0.93%,27.87%,-2.17%,2.27%,6.15%,2.15%
Booz Allen Hamilton Holding,BAH,8.72%,49.18%,-175.00%,-191.07%,9.02%,9.44%
Builders FirstSource,BLDR,-34.61%,116.70%,-45.04%,544.90%,9.50%,8.69%
Pure Storage,PSTG,-5.01%,130.24%,,,50.00%,44.68%
Seagate Technology Holdings,STX,-39.04%,-43.49%,-134.88%,-128.66%,70.00%,1140.00%
Ameren,AEE,1.97%,12.60%,12.50%,-7.22%,-10.09%,6.55%
CenterPoint Energy,CNP,-3.55%,-14.23%,-39.29%,,7.84%,8.02%
McCormick,MKC,7.96%,27.50%,27.27%,19.15%,8.62%,7.37%
Align Technology,ALGN,3.36%,104.42%,1.39%,12.31%,5.19%,15.40%
Principal Financial,PFG,-46.62%,9.97%,-87.02%,0.00%,-5.17%,12.80%
Tenaris S.A,TS,45.51%,127.84%,75.93%,555.17%,22.12%,-4.11%
Watsco,WSO,-6.12%,50.30%,-10.34%,84.17%,-3.98%,12.90%
Entegris,ENTG,30.11%,135.21%,79.45%,244.74%,11.48%,26.15%
Teva Pharmaceutical Industries,TEVA,2.43%,-17.51%,,,-6.12%,13.42%
Zoom Video Communications,ZM,2.94%,1740.12%,-86.49%,,45.10%,1.68%
Erie Indemnity,ERIE,15.66%,35.14%,47.71%,48.68%,2.15%,12.44%
Williams-Sonoma,WSM,-7.18%,45.92%,-32.86%,335.19%,46.40%,5.08%
Ulta Beauty,ULTA,10.13%,69.99%,5.61%,144.72%,4.52%,11.29%
Corpay,CPAY,10.09%,62.08%,-4.48%,67.54%,1.05%,15.70%
Teledyne Technologies,TDY,5.08%,94.50%,7.80%,66.81%,-1.94%,11.62%
Alnylam Pharmaceuticals,ALNY,41.78%,965.70%,,,58.73%,-37.14%
DICK'S Sporting Goods,DKS,3.57%,48.04%,-13.23%,135.00%,12.24%,6.49%
CMS Energy,CMS,-19.01%,4.22%,34.00%,36.73%,5.43%,8.41%
Cooper,COO,5.74%,38.98%,-68.75%,-35.48%,2.41%,10.96%
Samsara,IOT,43.23%,,,,0.00%,-22.50%
Genmab,GMAB,35.64%,,-26.83%,,0.00%,27.03%
Celsius Holdings,CELH,111.58%,3404.09%,325.00%,,35.00%,31.53%
Endeavors,EDR,9.42%,,1333.33%,,217.39%,-5.51%
TKOs,TKO,25.06%,45.76%,15.52%,509.09%,319.61%,-16.19%
Molina Healthcare,MOH,3.39%,70.53%,25.88%,77.15%,4.95%,13.75%
Cincinnati Financial,CINF,217.68%,67.20%,,156.06%,1.78%,9.58%
Robinhood Markets,HOOD,52.83%,,,,260.00%,16.98%
Best Buy,BBY,-11.08%,3.93%,-25.50%,54.17%,12.15%,12.21%
Aercap Holdings,AER,15.18%,61.08%,51.43%,24.71%,42.42%,5.75%
Avery Dennison,AVY,-10.93%,12.74%,-52.49%,15.89%,6.51%,10.73%
Waters,WAT,3.68%,24.21%,-6.25%,28.79%,5.24%,10.03%
EMCOR,EME,12.49%,55.87%,48.24%,143.80%,42.81%,6.52%
Nomura Holdings Inc ADR,NMR,69.30%,27.17%,-75.00%,-66.67%,0.00%,
Omnicom Group,OMC,1.20%,-6.47%,8.33%,13.75%,9.87%,6.89%
EQT,EQT,-59.69%,7.16%,-108.22%,-357.14%,26.15%,252.43%
Darden Restaurants,DRI,6.38%,29.75%,15.25%,83.57%,-0.38%,8.02%
Watsco,WSO.B,-6.12%,50.30%,-10.34%,84.17%,0.00%,
Lennox,LII,3.30%,20.08%,22.98%,82.09%,9.46%,12.55%
Corebridge Financial,CRBG,-15.21%,,-70.65%,,4.76%,19.19%
Domino's Pizza Inc,DPZ,-3.81%,31.46%,9.22%,73.03%,6.23%,14.06%
Regions Financial,RF,28.97%,45.78%,0.00%,84.38%,-4.35%,11.73%
Synchrony Financial,SYF,18.96%,19.94%,-17.50%,43.48%,-13.87%,5.91%
Shinhan Financial Group Co,SHG,17.74%,43.26%,0.00%,-37.04%,22.73%,17.71%
Atmos Energy,ATO,-18.83%,17.87%,2.17%,46.88%,8.78%,4.89%
Jacobs Solutions,J,9.40%,42.71%,-15.13%,22.86%,3.80%,10.28%
Liberty Media - Liberty Formula One Series C,FWONK,,,,,190.91%,32.50%
United Airlines Holdings Inc,UAL,17.06%,31.56%,224.00%,30.65%,71.70%,15.01%
Enphase Energy,ENPH,34.12%,836.92%,101.85%,,-154.55%,132.03%
Baxter,BAX,3.14%,30.44%,-156.00%,-144.44%,6.56%,9.62%
VeriSign,VRSN,5.71%,23.00%,16.23%,72.12%,0.00%,
Brookfield Asset Management,BAM,,,,,3.03%,17.69%
Reliance,RS,-17.11%,29.82%,-29.07%,105.38%,-3.81%,-4.84%
Northern Trust,NTRS,62.45%,79.50%,-16.13%,-7.14%,15.65%,3.81%
Hologic,HOLX,-1.83%,19.47%,-117.78%,-139.02%,6.19%,8.58%
MongoDB,MDB,29.02%,634.50%,,,0.00%,-16.60%
Aegon,AEG,-11.95%,,-141.67%,,0.00%,8.97%
Expeditors Of Washington,EXPD,-51.34%,14.42%,-42.73%,64.56%,6.36%,6.97%
Loews,L,16.12%,9.58%,132.35%,119.44%,0.00%,
Check Point Software Technologies,CHKP,3.08%,25.85%,25.00%,37.10%,0.00%,10.78%
Everest Group,EG,28.75%,92.82%,422.83%,856.47%,2.13%,11.26%
Hormel Foods,HRL,-2.34%,25.61%,-25.00%,-23.08%,8.57%,5.66%
Carnival,CCL,104.54%,12.72%,,-141.03%,22.22%,41.00%
NRG Energy,NRG,-12.83%,157.94%,-42.13%,443.48%,-13.04%,3.78%
Textron,TXT,8.56%,-8.11%,30.00%,49.43%,-6.25%,10.05%
Essex Property Trust,ESS,4.02%,19.30%,78.16%,1.97%,2.41%,2.08%
Illumina,ILMN,1.20%,41.69%,,-204.96%,200.00%,168.97%
Celanese,CE,12.43%,51.57%,-49.50%,-20.24%,8.90%,20.49%
J.B Hunt Transport Services,JBHT,-18.37%,46.45%,-25.21%,32.12%,-20.26%,30.86%
Intercontinental Hotels Group,IHG,,,,,0.00%,13.99%
Packaging Of America,PKG,-12.75%,10.44%,-30.00%,13.71%,5.52%,11.12%
Labcorp,LH,3.79%,5.84%,-45.22%,-6.61%,6.36%,7.33%
Royalty Pharma,RPRX,0.42%,,-28.57%,,2.08%,9.18%
Avantor,AVTR,-8.72%,,-103.57%,,10.00%,22.77%
Clorox,CLX,12.10%,19.40%,74.39%,-13.86%,28.57%,9.95%
Marathon Oil,MRO,-31.55%,2.56%,-65.69%,327.27%,5.77%,15.19%
Liberty Media - Liberty Formula One Series A,FWONA,,,,,190.91%,22.45%
Fox,FOXA,-0.03%,23.10%,36.36%,,11.22%,12.61%
Southwest Airlines,LUV,4.59%,22.55%,-10.00%,-14.96%,-5.88%,98.10%
Zebra Technologies,ZBRA,-17.30%,19.96%,,115.50%,15.96%,22.96%
Citizens Financial,CFG,43.25%,68.82%,37.31%,4.55%,-13.33%,25.71%
News,NWS,-9.01%,-9.65%,-111.11%,,0.00%,
Logitech S.A,LOGI,-21.94%,62.06%,-59.38%,,61.82%,8.31%
IDEX,IEX,6.29%,33.39%,0.55%,31.88%,7.43%,10.35%
Quest Diagnostics,DGX,-4.69%,21.83%,4.59%,30.57%,9.68%,7.52%
Owens Corning Inc,OC,-1.46%,40.52%,8.31%,250.00%,18.09%,13.44%
International Paper,IP,-13.12%,-19.73%,-50.72%,-29.90%,-26.09%,38.02%
Mid-America Apartment Communities,MAA,8.10%,37.19%,-31.87%,138.46%,-0.45%,2.82%
Gen Digital,GEN,32.26%,,630.00%,,0.00%,11.96%
News,NWSA,-9.01%,-9.65%,-111.11%,,10.00%,35.82%
Warner Music Group,WMG,9.22%,63.26%,0.00%,,63.64%,39.39%
FactSet Research Systems,FDS,8.40%,55.87%,79.27%,81.15%,10.18%,9.55%
Masco,MAS,-9.57%,-7.40%,-1.69%,70.59%,6.90%,10.71%
Expedia,EXPE,5.56%,16.60%,,25300.00%,59.38%,30.59%
Centrais El¿tricas Brasileiras SA,EBR,3.79%,-45.39%,,,0.00%,-18.37%
SS&C Technologies Holdings,SSNC,2.55%,52.11%,21.43%,,2.70%,10.17%
AES,AES,-1.66%,19.31%,,-113.64%,56.25%,8.90%
Burlington Stores,BURL,9.40%,44.53%,161.11%,-54.37%,36.54%,22.18%
TPG,TPG,,,,,13.95%,36.14%
Bunge Global SA,BG,-16.08%,23.89%,205.22%,,19.22%,3.23%
Hyatt Hotels,H,14.97%,50.49%,-65.95%,-4.55%,-2.74%,24.01%
Fox,FOX,-0.03%,23.10%,36.36%,,0.00%,13.71%
Skyworks Solutions,SWKS,-13.09%,19.78%,-26.51%,-22.29%,6.35%,5.75%
Okta,OKTA,23.01%,487.80%,,,67.50%,-21.85%
Sun Communities,SUI,6.04%,218.13%,18.03%,188.00%,2.59%,5.49%
Amcor,AMCR,-6.04%,254.84%,71.43%,20.00%,5.88%,5.71%
CF Industries Holdings,CF,-47.62%,36.54%,-51.61%,328.57%,-29.93%,4.77%
Bentley Systems,BSY,10.61%,,-11.76%,,19.05%,14.12%
Ryan Specialty Holdings,RYAN,19.10%,,18.18%,,0.00%,20.34%
RPM,RPM,1.63%,29.40%,-23.38%,84.38%,8.33%,11.92%
Albemarle,ALB,60.19%,177.58%,59.54%,102.20%,-25.71%,134.54%
Grab Holdings,GRAB,130.26%,,,,-200.00%,-700.00%
Snap-On,SNA,4.81%,24.80%,14.52%,56.73%,1.93%,5.89%
Jabil,JBL,1.77%,55.88%,13.16%,588.00%,-0.65%,28.10%
Conagra Brands,CAG,2.18%,51.22%,-75.76%,-55.56%,7.81%,2.67%
BioMarin Pharmaceutical,BMRN,11.52%,59.66%,93.33%,,32.43%,43.22%
BeiGene,BGNE,74.27%,1027.39%,,,19.13%,-62.20%
"Western Midstream Partners, LP",WES,-15.76%,42.50%,-13.51%,106.45%,75.00%,-9.67%
Texas Pacific Land,TPL,-8.88%,117.51%,-15.04%,94.20%,8.52%,-100.00%
Gold Fields,GFI,,,,,0.00%,83.57%
Akamai Technologies,AKAM,3.59%,41.19%,-1.18%,236.00%,-2.56%,7.38%
Healthpeak Properties,DOC,5.31%,16.16%,-30.77%,-52.63%,2.27%,4.47%
Walgreens,WBA,8.64%,3.15%,-57.58%,-89.63%,46.34%,-3.11%
TransUnion,TRU,2.08%,71.91%,-42.86%,-3.45%,16.90%,20.18%
Pool,POOL,-9.65%,75.59%,-22.54%,111.07%,-1.07%,11.06%
Yum China,YUMC,24.72%,28.34%,135.00%,30.56%,7.58%,16.97%
Avangrid,AGR,-11.54%,13.20%,-54.17%,-35.29%,23.94%,8.52%
Telefonica Brasil S.A,VIV,13.71%,-28.77%,-13.33%,-31.58%,0.00%,19.12%
ZTO Express (Cayman),ZTO,4.91%,131.49%,66.67%,150.00%,0.00%,17.06%
Reinsurance Group Of America,RGA,6.48%,30.04%,96.77%,-2.56%,33.48%,5.57%
Ovintiv,OVV,-32.63%,156.05%,-74.28%,,9.09%,12.09%
WestRock,WRK,-7.22%,23.77%,-46.26%,-23.30%,56.00%,78.20%
Fidelity National Financial,FNF,16.43%,44.51%,-57.81%,-10.00%,-11.63%,19.24%
Graco,GGG,2.02%,31.81%,14.71%,52.94%,-12.16%,6.56%
Neurocrine Biosciences,NBIX,19.70%,367.13%,,,-59.62%,59.43%
Rentokil Initial,RTO,,,,,0.00%,15.54%
Trimble,TRMB,-7.88%,23.34%,18.18%,126.09%,8.33%,13.12%
Dynatrace,DT,24.50%,,,,-21.43%,21.13%
New Oriental Education & Technology,EDU,64.22%,39.23%,,-67.44%,-10.53%,54.30%
Viking Holdings,VIK,,,,,93.48%,59.68%
KeyCorp,KEY,39.23%,40.43%,-50.00%,-38.64%,-4.35%,43.86%
Manhattan Associates,MANH,20.37%,62.84%,28.57%,50.00%,36.51%,18.01%
Nutanix,NTNX,11.13%,55.00%,,,109.09%,-475.00%
Pentair,PNR,1.72%,38.68%,0.00%,300.00%,4.44%,12.97%
NVent Electric,NVT,10.38%,47.96%,39.58%,179.17%,5.48%,8.26%
Equitable Holdings,EQH,,,-53.91%,635.71%,9.16%,16.18%
Paramount Global,PARAA,-2.10%,119.73%,-177.42%,-145.71%,148.00%,46.40%
Revvity,RVTY,-20.83%,0.81%,-80.28%,-50.88%,4.26%,11.37%
James Hardie Industries,JHX,-5.21%,74.52%,50.00%,,0.00%,15.89%
Nordson,NDSN,2.32%,17.42%,17.55%,42.58%,1.74%,10.61%
Advanced Drainage Systems,WMS,-8.94%,146.92%,98.15%,,29.47%,17.19%
Stanley Black & Decker,SWK,-5.33%,14.14%,107.02%,-38.86%,1.82%,34.23%
Aspen Technology,AZPN,98.04%,116.96%,-76.16%,-53.41%,33.91%,1.81%
Sociedad Quimica Y Minera S.A,SQM,12.08%,336.43%,-5.73%,511.63%,146.51%,418.10%
Brookfield Infrastructure Partners LP,BIP,15.62%,307.66%,192.31%,171.43%,0.00%,8.36%
